,name,fold,Direction,tstat,pvalue,FDR,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,LCC1,LCC9,20130426_AYESHA_CELL_NEG_1701,20130426_AYESHA_CELL_NEG_1801,20130426_AYESHA_CELL_NEG_1901,20130426_AYESHA_CELL_NEG_2001,20130426_AYESHA_CELL_NEG_2101,20130426_AYESHA_CELL_NEG_501,20130426_AYESHA_CELL_NEG_601,20130426_AYESHA_CELL_NEG_701,20130426_AYESHA_CELL_NEG_801,20130426_AYESHA_CELL_NEG_901,20130426_AYESHA_CELL_NEG_1101,20130426_AYESHA_CELL_NEG_1201,20130426_AYESHA_CELL_NEG_1301,20130426_AYESHA_CELL_NEG_1401,20130426_AYESHA_CELL_NEG_1501,20130426_AYESHA_CELL_NEG_2301,20130426_AYESHA_CELL_NEG_2401,20130426_AYESHA_CELL_NEG_2501,20130426_AYESHA_CELL_NEG_2601,20130426_AYESHA_CELL_NEG_2701,isotopes,adduct,pcgroup
1070,M619T24,1.735425298,DOWN,-3.524105825,0.00252425,0.031868696,618.5517023,618.5463594,618.5596589,23.78500086,23.47100002,24.49899992,13,8,5,5026.208956,6375.0636,7799.789464,3911.855076,3731.768171,6187.199147,5322.295687,7228.207056,3436.607288,3975.530823,3841.166532,2249.781123,5545.72417,2902.160545,2507.520925,2709.335341,1116.462224,4621.244304,2881.084951,2162.429379,,[M-H]- 619.558,43
417,M351T24,1.777499594,DOWN,-3.820495386,0.002531213,0.031868696,350.7841985,350.7800977,350.7849163,24.43400033,23.53100002,25.10400033,20,10,10,22379.3844,20145.3964,21774.2548,16853.61764,17485.72515,20754.84678,19092.50872,22088.10551,14936.85042,17160.25233,9374.027835,5060.852584,22494.99347,10292.22853,5476.252567,7939.176316,6442.617433,22732.12535,10770.83102,7811.261244,,,43
1791,M887T601,2.0578406,UP,3.941989365,0.002553361,0.031868696,886.6569582,886.6552568,886.6604871,601.0355064,600.5320009,603.5669859,20,10,10,25364.14472,36458.19952,37913.57966,20093.02871,35411.04694,25637.89517,33059.07662,36358.02733,19670.97584,33600.62329,46325.67882,75033.50116,58378.6733,30992.12339,99708.4353,46058.64414,79284.97416,56651.70622,33674.16648,98583.76685,[372][M]-,[M+Cl]- 851.688,22
256,M283T24,1.800492065,UP,3.805885678,0.002553874,0.031868696,282.7756933,282.7749678,282.7778002,23.77500086,23.16699917,24.44999949,19,9,10,3987.833769,4725.436781,1906.819402,3406.4501,4372.161479,4632.356313,4104.509187,3350.183724,2857.731828,4973.140539,7827.630324,9141.092865,3347.221628,5450.53041,9891.955949,9200.816642,7084.11554,3472.351892,5445.918604,8127.142052,,,43
553,M401T369,1.364319054,UP,3.636996791,0.002564694,0.031868696,401.185708,401.1825098,401.1892928,369.1865107,368.7130141,369.84801,18,9,9,3178.615297,3560.560365,3054.876006,4896.041694,3010.391814,1519.214389,2691.05218,2729.19896,3285.335822,3866.798742,3912.62418,3942.562506,3220.479472,4531.147998,4514.52945,4951.340686,4536.462699,4466.530117,4771.081262,4527.789326,,,109
282,M297T25,1.625154934,DOWN,-3.535956801,0.002592444,0.032015883,296.8188632,296.8178093,296.8219978,24.64599986,24.08899992,25.85099971,14,8,6,8409.460989,7076.162507,8235.91054,5768.527458,3765.640929,7101.710122,7593.097947,7430.738808,6047.129678,5889.141716,2508.955963,1722.28696,7748.670096,2691.533535,3813.391341,4867.842977,3375.380788,6060.369373,5366.687194,3267.098986,,,43
1795,M888T608,1.723526157,DOWN,-3.530494301,0.00264358,0.032448329,887.7148461,887.712246,887.7195952,608.148502,606.8150177,610.0970013,20,10,10,40781.90288,66864.86974,67736.20948,31931.34051,61454.62151,34958.485,52175.13382,61818.09984,27360.76709,53914.25446,25238.87817,36066.64252,25530.3895,11931.23013,40258.38843,23591.91236,39564.9545,25435.91198,15573.15702,46328.76251,[371][M+2]-,,32
221,M267T203,1.290843439,DOWN,-3.794206305,0.002771832,0.033816353,266.9427697,266.9414355,266.9477447,202.9209995,202.6109934,203.8659954,5,0,5,1419.568137,1287.305516,1227.382907,1335.42401,1274.960598,1206.471795,1298.89185,1283.356458,1494.577904,1306.818119,1150.427524,731.9787763,872.3138144,899.4763324,1025.527796,1294.655693,827.4371914,1270.045431,1341.115026,762.3518902,,,28
907,M542T399,2.584672291,UP,3.642398553,0.002818665,0.034180553,542.336588,542.3350622,542.3379924,399.2850043,398.3440139,399.6290016,19,9,10,5483.425576,6180.76666,14696.77012,3987.01266,8475.567909,4788.313051,6564.065812,18735.99389,2558.631817,8247.194032,11329.81837,22306.74103,26344.4816,8092.374235,34244.80683,11961.73031,24298.32534,27818.20261,8679.879672,30967.87763,[143][M+2]-,,12
1010,M593T24,2.250068182,UP,3.730860137,0.002837987,0.034208794,592.5389082,592.5354695,592.543644,23.53100002,23.15699917,23.78500086,6,1,5,1377.129798,1425.643807,452.8601945,920.3739727,1400.346971,1445.458579,1632.490681,257.1018283,964.0388283,1290.90355,3063.125035,2485.901881,731.792469,2281.145038,3511.320292,3242.492558,3362.942928,596.8294964,2247.651337,3601.843774,,[M-H-CO]- 621.555,43
866,M529T24,1.892862071,DOWN,-3.469314962,0.002900658,0.034691358,528.6555791,528.6438956,528.6593297,24.11899992,22.83200055,24.81400033,15,8,7,6877.48167,6056.045818,8901.414185,3921.970995,5458.107692,5212.607781,5122.127615,8172.409366,4343.457835,5458.541844,1956.157713,2242.405061,6102.478912,2666.470426,2690.228168,2582.314105,2115.409208,7544.946251,2007.410709,1538.826144,,,43
1445,M744T584,1.724159599,DOWN,-3.729521528,0.00293426,0.034691358,744.4909979,744.487602,744.4954447,584.4550164,583.7349905,586.2159837,16,9,7,6409.923568,7821.923538,7515.436849,3389.485122,9062.533005,3791.608383,5871.903148,5770.430083,3263.204085,6492.69352,4203.448562,2275.783367,3225.026106,2868.134471,4570.110914,3686.551618,2332.045277,3813.403517,3261.625085,4209.140155,[266][M+1]-,,305
273,M293T25,1.708509409,DOWN,-3.632819042,0.00294287,0.034691358,292.8249276,292.8232114,292.825927,24.55400033,23.84500086,25.41799939,20,10,10,27678.78236,25376.53024,27915.93436,19460.19089,23050.51303,22765.59135,21898.00783,28283.08893,18482.42893,18905.29941,9872.628969,6497.68373,26322.88165,12477.69209,11692.91353,11561.76759,6943.325655,28294.39886,13663.64961,9527.070377,,,43
36,M131T147,2.852073231,UP,3.835608381,0.002946956,0.034691358,131.0693134,131.0690463,131.0700285,146.5849972,145.6279986,146.6529945,5,0,5,563.4811103,1052.508057,938.2554684,344.5760132,1397.095406,596.0205972,1045.639721,630.2258471,354.9365052,1111.217178,1486.945954,2413.501203,2737.452185,911.9492088,4124.955132,1319.924756,2221.788837,3104.378725,766.5108071,3826.023766,,,402
1768,M878T584,1.295055975,DOWN,-3.664038337,0.002995457,0.034720623,878.2192985,878.2126995,878.2218813,583.5310219,582.1569756,585.8220151,13,6,7,3152.306494,2398.668544,2829.886992,2805.352893,2758.025726,2556.61027,2691.879114,2927.612691,2622.655393,3052.965329,2630.538017,1979.223023,1564.658821,2514.369808,2202.241516,1597.593051,2847.647911,1760.437936,1664.42225,2702.004386,,,3
872,M532T24,1.295671832,DOWN,-3.445135309,0.00300009,0.034720623,531.8077314,531.8023991,531.8109871,24.42350055,23.21699917,24.78999949,10,5,5,3586.658041,3744.722712,4590.607002,3749.893738,4335.53089,3831.389472,2995.355372,5025.996592,3118.324276,3837.191934,3286.4247,3091.581935,3900.264289,3287.801936,2729.345865,3394.200106,2983.147551,2614.896355,2643.831065,2026.454698,,[M-H]- 532.811,43
320,M308T28,1.707560513,UP,3.537985564,0.003001187,0.034720623,308.0730033,308.0720092,308.0736159,28.23400067,27.90999983,29.1889993,20,10,10,23081.24147,9992.203997,15265.72673,25887.76309,28453.45887,22502.77461,12825.74593,11906.56508,23239.55127,20139.63714,37660.42414,34692.96461,14239.24366,32539.27945,44879.25773,37308.35445,37020.74415,15565.64946,32190.28422,43966.14082,[28][M+2]-,,19
890,M537T535,3.716573774,UP,3.926566703,0.003029133,0.034835708,537.3758791,537.3744631,537.3839011,534.7909927,532.6450214,535.2699968,9,2,7,1309.061423,1359.046481,2187.224083,448.1188204,1604.743182,1258.405695,1254.020786,2635.461792,1007.961549,1805.813853,3563.03619,4994.290544,6202.369531,1938.289388,11310.66869,3268.251355,6629.089512,5002.592638,2085.651091,10270.68408,[138][M+1]-,,92
1256,M687T27,2.11345969,UP,3.663675093,0.003045745,0.034835708,687.0158896,687.0076727,687.0228104,27.28199993,26.00500055,28.08999983,17,9,8,4191.410618,5688.005328,4131.223357,2349.054986,1843.938563,1573.728568,5083.988924,3187.038765,3439.138234,2837.238489,5965.623762,10912.58572,3702.724144,5000.528762,10616.43021,7983.738831,8270.836482,5640.628078,3145.930171,11304.98281,[217][M+1]-,,19
1382,M725T593,1.555834101,DOWN,-3.543173169,0.003087562,0.035114471,724.5291464,724.5265645,724.5320947,593.1980168,592.141991,596.680976,11,7,4,4362.077835,5129.341523,5462.840486,7506.334401,5559.399877,4985.632081,5004.397412,2458.51261,7450.909469,4829.090431,1669.854432,4090.164108,3419.522491,3777.755044,3184.853365,4397.287338,2344.400377,3566.020285,4215.82746,3238.017357,,[M-H-H20]- 743.548,1
1562,M790T546,1.303331829,DOWN,-3.416512398,0.003182126,0.03580515,790.3711691,790.3670804,790.377028,545.6469727,541.6739972,545.9630013,14,7,7,2370.656959,1923.890927,2542.67001,2137.543657,2055.211519,2703.229603,2338.625143,2840.799179,3159.56233,2049.512516,1442.209023,2049.884601,2099.664472,2433.190456,1612.539603,1444.06295,1947.227307,1556.378166,2128.320846,1794.243558,[302][M+1]-,,23
99,M180T30,1.608462721,UP,3.455502605,0.003183866,0.03580515,180.0638413,180.0630043,180.065397,29.50100005,29.18199962,30.13600046,20,10,10,5546.240892,10186.09114,7259.809329,6021.473733,9760.898362,3688.60004,9125.134331,8161.072523,3993.460696,8940.629668,9000.382271,16155.4477,10684.14279,6960.634194,13984.08528,9321.187422,16638.41736,9361.332133,10782.08516,14020.84225,,[M-H-C4H8]- 237.123,19
49,M143T28,1.54228234,UP,3.405982547,0.003359225,0.03726614,143.0432457,143.0420737,143.0441721,28.41400067,27.92500024,29.1869992,15,9,6,6289.69909,3435.998074,4687.765367,7640.674062,7337.006228,6117.405196,3682.963044,3619.069847,7036.880009,8138.612412,11297.61801,9111.482279,5746.056315,8447.73782,6924.480617,11185.51577,10168.68804,5637.476128,8811.452475,12100.38939,,[M-H+HCOOH]- 98.0431,19
1167,M660T590,1.607534585,UP,3.510540667,0.003376195,0.03726614,659.5118954,659.5089919,659.5164183,590.2369774,589.7629855,593.7030264,13,5,8,3354.275471,3617.181298,5411.386701,2211.754221,2722.311468,2614.294456,4396.094758,3620.031589,3440.209696,4492.292289,4168.180055,5359.958319,5646.054391,4901.053381,5916.006591,4949.406218,6049.412432,9935.430203,3910.462824,6842.10636,,,206
236,M272T28,1.519529174,UP,3.529660922,0.003384184,0.03726614,272.0865426,272.085886,272.0874036,28.2489993,27.92999983,28.8789993,20,10,10,40547.88933,26026.65788,29739.09693,45745.6549,48233.31805,41402.93437,28161.92276,27822.20728,40804.37507,41280.24997,61597.66557,58756.25738,27532.75626,61489.5053,68485.28428,60631.69027,60706.7191,28913.67126,64219.68373,69534.41804,[15][M]-,[M+Cl]- 237.123 [M-H]- 273.095,19
