probeset_id,gene_symbol,pvalue,FDR,logFC,LCC1-P18.CEL,LCC1-P19.CEL,LCC1-P20.CEL,LCC9 -P12.CEL,LCC9 -P13.CEL,LCC9 -P14.CEL
212117_at,RHOQ,0.003620287,0.013408555,0.338870043,9.612842737,9.521688383,9.438081675,9.751161551,9.987564561,9.850496811
228126_x_at,CTXN1,0.003624287,0.01342125,0.257272189,5.975569201,5.925228292,5.962424573,6.251877369,6.159421175,6.223740089
50374_at,OXLD1,0.003624867,0.013421279,0.259355961,9.884992069,9.990931054,9.952267556,10.20160473,10.22404504,10.18060879
222687_s_at,ACER3,0.003626781,0.013424127,-0.378087325,7.153583833,6.99371713,6.94498424,6.501161782,6.787710723,6.669150722
91617_at,DGCR8 /// MIR1306,0.003626227,0.013424127,-0.353860169,8.734635455,8.827970813,8.859364053,8.297928127,8.58972494,8.472736746
201636_at,FXR1,0.003630023,0.013431887,0.334704343,9.721071804,9.479559881,9.516796284,9.889065037,9.97567337,9.856802589
212227_x_at,EIF1,0.003629516,0.013431887,0.255265278,12.41829712,12.51592389,12.48102756,12.71829117,12.72519216,12.73756108
202678_at,GTF2A2,0.003634521,0.013446409,-0.276385203,11.29032023,11.19816562,11.31704919,10.9376579,11.04743221,10.99128931
208615_s_at,PTP4A2,0.003636332,0.013450987,0.359799233,9.515798437,9.415859046,9.440962172,9.639344475,9.874742776,9.937930101
202943_s_at,NAGA,0.003644349,0.013474463,-0.285721424,8.654085999,8.825396037,8.731439549,8.471307347,8.405114674,8.477335293
213998_s_at,DDX17,0.003643346,0.013474463,-0.503262756,6.99712638,7.359411107,7.202691628,6.498305567,6.645754092,6.905381188
214508_x_at,CREM,0.003644402,0.013474463,0.353272044,7.668655527,7.735782023,7.78737196,8.251437267,7.966985393,8.033202982
224659_at,SEPN1,0.003646889,0.013481532,-0.353329586,7.04637147,7.07364476,6.904977572,6.650633109,6.789522752,6.524849182
213179_at,RQCD1,0.003652681,0.013500816,-0.276430035,10.08690324,10.2176066,10.1535947,9.833821577,9.934121706,9.860871154
201068_s_at,PSMC2,0.003656531,0.013512916,0.246983977,13.27443973,13.29714352,13.29514267,13.5029751,13.54752993,13.55717282
230423_at,LOC100996301,0.003660865,0.013526595,-0.363392241,6.648456155,6.728092866,6.668642954,6.442780602,6.13258084,6.379653811
240379_at,PKP4,0.003661386,0.013526595,-0.529258467,6.451782342,5.989630697,6.519030588,5.758209763,5.760154595,5.85430387
222043_at,CLU,0.003662262,0.0135277,0.474839205,6.75386653,7.261052728,7.012125191,7.457597203,7.490924399,7.503040463
226805_at,FITM2,0.003666959,0.013542917,-0.271261954,9.867729678,10.01601303,9.950291361,9.690823208,9.677256819,9.652168177
229013_at,LOC145783,0.003668804,0.013547597,-0.311538459,7.263726343,7.258765524,7.121588837,6.80180303,6.925216494,6.982445802
209998_at,PIGO,0.003669436,0.013547798,-0.318807737,9.10448474,9.328495271,9.228848774,8.973644106,8.847275466,8.884486003
213085_s_at,WWC1,0.003671337,0.013548757,-0.259264402,9.365056212,9.464365622,9.380321287,9.157832207,9.116085908,9.1580318
226419_s_at,FLJ44342,0.003671019,0.013548757,0.299708805,7.646174549,7.63788033,7.772536973,8.012644397,8.048805007,7.894268862
226470_at,GGT7,0.003671429,0.013548757,-0.409159465,7.190201895,7.109403528,7.058915335,6.910796432,6.521454571,6.698791361
242767_at,LMCD1,0.003674086,0.013556429,-0.49588243,6.294821716,6.539248258,6.16577149,5.637386145,6.020625631,5.854182398
1562098_at,OTTHUMG00000170194 /// RP11-135F9.4,0.003676149,0.013560673,0.350165529,6.002169988,6.15156983,6.057521574,6.342030838,6.580949166,6.338777976
210024_s_at,UBE2E3,0.003677549,0.013560673,-0.258728687,11.07861325,11.18115716,11.1190414,10.86045151,10.84568353,10.8964907
220355_s_at,PBRM1,0.003676688,0.013560673,-0.325287423,8.922565319,8.679781366,8.745302404,8.484244973,8.490038897,8.397502947
230219_at,NDE1,0.003677527,0.013560673,0.351648554,5.93521463,6.217306868,6.133376377,6.490217346,6.370357121,6.48026907
231907_at,ABL2,0.003678714,0.013562836,0.313522436,8.039226304,8.042614852,7.871771024,8.213163811,8.315955404,8.365060274
243529_at,MARS2,0.003686961,0.013591105,0.273676116,7.684757766,7.811388237,7.719472358,7.984147338,7.98625767,8.066241702
1555226_s_at,C1orf43,0.003690865,0.013603358,-0.265154661,11.74150616,11.71208636,11.71442619,11.40746861,11.4320591,11.53302702
222792_s_at,CCDC59,0.0036934,0.013610562,0.257947315,11.29563798,11.24499147,11.2243266,11.46277986,11.53744526,11.53857287
214730_s_at,GLG1,0.003694058,0.013610848,0.314433199,10.26664383,10.48929538,10.35254324,10.6187325,10.72201481,10.71103474
1553166_at,CDH24,0.003695176,0.013612829,-0.344727146,6.496797164,6.547585835,6.401644498,6.044011104,6.291600462,6.076234492
228978_at,LOC101060406,0.003705068,0.013647127,-0.361776546,8.184897689,8.350218954,8.397900782,7.919007835,7.841182671,8.087497278
1554701_a_at,TBC1D16,0.003711816,0.013669835,0.33126276,6.495798833,6.72424034,6.683012589,6.938728284,7.04809563,6.910016128
1554747_a_at,41884,0.00371283,0.013671422,-0.250743505,8.948663543,9.020348416,8.961493815,8.704162512,8.742445292,8.731667456
221481_x_at,HNRNPD,0.003713613,0.013672159,-0.255503195,13.18365182,13.15494809,13.14107602,12.93034522,12.84879469,12.93402643
217427_s_at,HIRA,0.003714278,0.013672461,0.400885018,8.7796389,8.847626176,8.744893522,9.414603791,9.082268299,9.077941562
235003_at,UHMK1,0.003715603,0.013675192,-0.404988425,8.253665379,8.195797739,8.196921147,7.602959326,8.003329363,7.825130302
221010_s_at,SIRT5,0.003717493,0.013680001,-0.391021361,6.3845636,6.384134425,6.526663462,6.237004692,5.979637715,5.905654995
218720_x_at,SEZ6L2,0.003721376,0.013692142,-0.352941481,7.764083256,8.00289574,7.995685179,7.57764684,7.649334516,7.476858374
203011_at,IMPA1,0.003723264,0.013696078,0.283290632,9.80367237,9.941191655,9.917046304,10.12114267,10.23323812,10.15740144
222634_s_at,TBL1XR1,0.003723614,0.013696078,0.354375055,7.681415473,7.678880794,7.66951362,7.846839981,8.15301659,8.093078479
