,name,fold,Direction,tstat,pvalue,FDR,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,LCC1,LCC9,20130426_AYESHA_CELL_POS_1001,20130426_AYESHA_CELL_POS_1101,20130426_AYESHA_CELL_POS_1201,20130426_AYESHA_CELL_POS_2001,20130426_AYESHA_CELL_POS_2101,20130426_AYESHA_CELL_POS_2201,20130426_AYESHA_CELL_POS_2301,20130426_AYESHA_CELL_POS_2401,20130426_AYESHA_CELL_POS_801,20130426_AYESHA_CELL_POS_901,20130426_AYESHA_CELL_POS_1401,20130426_AYESHA_CELL_POS_1501,20130426_AYESHA_CELL_POS_1601,20130426_AYESHA_CELL_POS_1701,20130426_AYESHA_CELL_POS_1801,20130426_AYESHA_CELL_POS_2601,20130426_AYESHA_CELL_POS_2701,20130426_AYESHA_CELL_POS_2801,20130426_AYESHA_CELL_POS_2901,20130426_AYESHA_CELL_POS_3001,isotopes,adduct,pcgroup
2431,M548T421,1.614715748,UP,1.671809229,0.114107243,0.343082029,548.3718975,548.367993,548.3736157,421.0710133,419.6779942,423.6929874,15,8,7,12975.02003,7308.045764,4201.072232,2330.184981,3188.909538,11093.79654,5260.20909,5389.162196,3046.818095,2031.485827,6176.334892,5462.664707,20502.15043,7365.107432,6989.320447,6837.654709,5085.218114,18036.06237,8900.801896,6400.429926,[400][M]+,,170
1733,M432T155,2.557106884,UP,1.743492372,0.114110209,0.343082029,432.2805711,432.2741552,432.2862312,155.0559979,154.6349935,155.6330024,12,4,8,1966.636491,943.5547885,622.4516761,1268.272554,862.5855925,2077.562225,961.6004735,1396.11295,1306.758035,1310.925038,10087.85735,1203.409886,1532.664185,1443.810178,2002.828752,9907.43271,1558.999433,1497.385705,1668.442013,1614.516742,,,182
3730,M733T589_6,2.085722618,UP,1.685929753,0.114244685,0.343082029,732.9310915,732.9188974,732.9360733,589.0885094,588.4099815,589.8330087,8,5,3,2978.219045,4868.512107,2102.195166,9759.378487,2239.885625,1859.278888,4307.150474,14973.32172,2029.594136,19523.2526,1960.78685,27883.61243,1935.516931,5827.201218,30949.06438,15183.56273,3289.259723,14413.33085,5660.511293,27719.90773,,,2
3866,M754T546,1.391079728,UP,1.680583981,0.114258977,0.343082029,753.5087676,753.5064641,753.516726,545.6480026,544.7019768,545.9560204,7,5,2,1894.839264,1245.13324,2285.551121,1581.826735,2368.103487,3222.940451,1431.236202,3711.044801,1565.390433,2703.152396,3041.360992,3807.567343,5140.405636,1387.486342,3050.541152,2931.79565,3370.12076,5108.40577,1258.557717,1520.335816,[721][M+1]+,,64
1699,M427T579,1.141762928,DOWN,-1.708949761,0.114366022,0.34317436,427.378832,427.3749717,427.3823166,579.3530002,579.0119934,579.7810152,11,5,6,3731.826707,3412.083457,3647.888699,3227.679139,3551.266249,3987.556422,3235.576951,3618.184334,3035.817962,3394.463556,2921.332499,3494.519437,3666.278568,3318.085128,2398.807818,1829.933169,4030.745705,3764.448037,2044.647588,3047.470025,,,10
3874,M755T580,1.244525904,UP,1.658350371,0.114583486,0.343483911,754.5388549,754.5372464,754.5402149,580.2669811,579.7040138,581.087977,20,10,10,227501.1335,78546.99607,161180.8571,144304.622,187376.5567,219107.2476,77405.5816,144055.3998,124918.0266,171300.9247,179078.221,230174.0193,229636.4893,93115.80187,232503.0762,170484.2434,215146.7515,207018.1739,120811.8329,233246.518,[725][M]+,[M+K]+ 715.569,10
2563,M569T598,1.191790996,UP,1.664139096,0.11462191,0.343483911,568.5031301,568.4992335,568.5087872,597.5790024,596.7209874,598.2999724,11,5,6,2548.832842,2417.542538,2820.692704,2591.356436,2321.722549,2276.671961,1376.289131,1983.923634,1925.772835,1460.796236,1893.362423,3540.836067,2542.730061,1696.458715,3602.322354,2777.262466,2263.436122,2215.754909,2854.479519,2503.349267,[427][M+1]+,,7
1942,M462T407,1.469579561,UP,1.664016685,0.115186616,0.344946336,462.2982104,462.2961169,462.2998549,407.166996,406.5290015,408.0510014,19,10,9,29408.65317,7003.91938,13762.90655,11077.13895,11322.7587,27263.8999,7565.906904,16478.1298,12009.3429,11605.37612,18197.62576,23545.42642,43337.73482,8534.60247,24748.23739,15120.69954,19670.66475,33831.82572,8735.750802,21037.52601,[300][M]+,,455
2059,M484T579,1.519877075,UP,1.680547983,0.115274358,0.344979417,484.3468084,484.3430745,484.3510042,578.6994941,578.1600275,579.3260193,18,9,9,11048.85089,2621.715748,9004.464049,6035.798589,13581.02195,10335.58007,2048.637741,12537.34971,9778.354738,13702.83961,12571.73111,23905.94185,13319.89889,2825.837305,22246.80805,8278.969627,21864.74719,12299.96587,2200.286071,18330.47727,[319][M]+,[M+K]+ 445.387,30
1513,M395T547,1.17786557,DOWN,-1.662391512,0.115646722,0.34566797,395.3883752,395.3845573,395.3954314,547.197991,545.6189958,548.0120087,18,8,10,5111.898284,3069.604987,3569.112326,2572.684563,2911.15544,3963.142855,3968.998408,4449.001639,2483.429738,3697.338046,3098.259345,3315.932024,1786.228113,3489.13816,2122.622407,3180.33515,3585.050732,3286.630513,3214.383312,3312.296086,,,116
